text,target
"Prije tjedan dana ""Ici cemo van kad prestane kisa, kad bude sunce"". A sada ""Sad je prejako, ici cemo kad zadje sunce"". Kata je zbunjena!
",Neg
"I pored svega ekipa standardno ne zna kako uci i ne uci u krizanje http://t.co/DBCCS0ncfx
",Neg
"Druga najgora stvar u trudnoći, nakon mučnine, jesu ogromne grudi. Možda čak i prva najgora. Definitivno prva najgora.
",Neg
"@josephbt To je drugo od tri čitanja. Ako ne vrate u Donji dom, što ne vjerujem da bi napravili, to će biti to što se tiče UK.
",Neg
"Iz SC-a javljaju kako prate i provjeravaju oglase o ilegalnoj kupoprodaji domova, a inspekcija će ove godine... http://t.co/gCZSjLX09q
",Neg
"Ne postoji ekspresni lijek za slomljeno srce, no nekim se postupcima moguće u kraćem roku odljubiti http://t.co/RmYluEhjJ2
",Neg
"Učenici se prebijaju na mrtvo ime, djelatnici škole se na isto ne obaziru, a nasilnici kopiraju postupke svojih... http://t.co/zQoWkYcJQO
",Neg
"Poznati sveučilišni grad posve 'pozelenio', no nisu svi sretni zbog toga http://t.co/2dMQlgIkRE
",Neg
"Po svemu sudeći u Hrvatskoj će drastično pasti broj studenata. Planirate li vi upisati fakultet u inozemstvu? http://t.co/e7VMYv8W0w
",Neg
"Profesori u hrvatskim srednjim školama imaju mizernu plaću u odnosu na svoje kolege u drugim zemljama svijeta http://t.co/oOHQSgaSos
",Neg
"Muke po prepisivačima. Američka tvrtka stala u kraj varanju na ispitima http://t.co/DtGikbuFu8
",Neg
"Tinejdžerica je pretrpjela moždani udar koji liječnici povezuju s njezinim dvogodišnjim uzimanjem jedne vrste... http://t.co/muaFXAtlmn
",Neg
"#onokad čekaš Windows Update pa si inspiriran tvitat i širiti hejt... Fuj, gadi mi se sve sad. Pravit RAZLIKU između pedofila?
",Neg
"Zašto ja slusam #SandraAfrika ?! Zašto? Koji mi je kurac? Aa?a?A?A
",Neg
"odma sam se sjetio kad mi je lik u srednjoj pricao kako su ameri sami srusili tornjeve i odma znam zas vise ne pricam s njim...
",Neg
"@Kjukar  @Cricketine987 tu se slazem s Kjukarom, to je u ljudskoj prirodi... Zasto marketing prodaje proizvod? Ne zato jer je kvalitetan...
",Neg
"U grad, iz grada, ispred kuce, na drugi kraj grada po kljuc i onda 10m prije ga pronadjem ispod sjedala. Pa zar zbilja utorce 22.?
",Neg
"Na vratima od ulaza pise kurva. Nije valjda zbog mene!?
",Neg
"Kad ti dva covjeka kazu da si negativan u dva dana, onda treba da se zapitam sta nije u redu sa njima!
",Neg
"Bogme, ne cveta cveće ni u naše preduzeće!
",Neg
"Nakon stepenica koje ne vode nikamo, otkrivena i Vlada koja državu ne vodi nikamo  http://t.co/31eXh3jHEW
",Neg
"Još uvijek drkaju po serveru, tako da ne možemo kazati da odete na site provjeriti najave za danas kojih ima, ali možemo vas usmjeriti i tu
",Neg
"Jedina fotto sa sinoćnjeg pohoda. Neke od nas je teško pogodio neuspješni odlazak na Magazin. NSFW 18+ http://t.co/meSFzShoPY
",Neg
"@VladaRH to nije odgovor na moja pitanja
",Neg
"@jumales daleko bilo, smece o kojem prica i slicni trebaju van iz Hrvatske ili bolje u Remetinec
",Neg
"Zašto je jedno vjenčanje u Motovunu uspjelo završiti u dnevniku?!
",Neg
"Nemoj se pozivati na svoja prava, ako ne možeš prihvatiti odgovornosti koja s tim pravima idu ruku pod ruku.
",Neg
"Našao sam kabanicu. U kineskom šopu. Pored kineskih kondoma. Pokisnut ću sigurno.
",Neg
"Parlament BiH najskuplji i najmanje učinkovit u regiji http://t.co/nYSZHaoWfs #parlament #bih #zakoni #korupcija #mito #zakoni #porezi #km
",Neg
"http://t.co/Uve4KX2dFW Fifa suspendirala Kamerun zbog uplitanja politike u savez #fifa #kamerun #suspenzija
",Neg
"http://t.co/yHuAK8ZwE8 Američki vojnik kriv po većini točaka optužnice u slučaju WikiLeaks #BradleyManning #usa
",Neg
"Jucer sam dosao na genijalnu ideju da sve vjezbe radim u ladder varijanti. Sad to placam upalom misica iz pakla
",Neg
"Surfam ipadom mini u pauzama surfanja macbookom. Nije mi dobro.
",Neg
"Za zemlju čije je vlasništvo naftne kompanije sve manje njeno neracionalno puno nas muči tko je sve postavio nogu ubijenom direktoru.
",Neg
"@dpozaric @kjukar Gle, ja apsolutno znam koji su kreteni ovi konkretni primjerci. Ali je problem sto se cijela tematika loše iscrpi na tom.
",Neg
"@m1le100 @Jasmin_Decevic Panika u redovima #HH Jedan Kukuriku sastanak?
",Neg
"RIP Predsjednik republike Pešćenice Željko Malnar
",Neg
"I sada ne znam na čemu sam. Šatro ćemo se vidjeti, mada meni sve to nešto ne miriše na dobro. Možda samo zato što sam pesimista.
",Neg
"Za ove dvije sedmice škole više sam želuca razvalila zbog srpskog,nego što to uradim zbog fizike godišnje. #rječnik #lektira #dnevnikčitanja
",Neg
"imamo nekih problema sa websiteom. Za direktan pristup streamu kliknite na http://t.co/yHArgyEEAb
",Neg
"Kako bih volelaa da odgovorim na neke twittove ali treba da pazim na izrazavanje jer me svakakvi prate
",Neg
"@VladaRH @maliveliki a ako ti ne budu od pomoći to ne znači da te #fiskalizacija ne kvači. E @VladaRH @VladaRH, što radite ljudima, ccc
",Neg
"@VladaRH deklarirati dijete ""debelim"" i djelovati na to mjerama je protuustavno, diskriminatorno, nepedagoški i nemoralno.Pravobraniteljica?
",Neg
"@VladaRH @GordanMaras ne čeka se vas da odlučujete o sudbinama građana već da uklonite prepreke kako bi se mogli slobodno razvijati.
",Neg
"@VladaRH Država ne bi trebala imati pravo onemogućiti građanima izbor kupnje robe iz kamiona. Građani moraju imati slobodu ekonomiziranja.
",Neg
"@Emanuel_Mifner razmisli kome ide na ruku podržavanje eliminacije po kriteriju pismenosti. Nitko razuman ne želi i ne treba vlast. @KICZO
",Neg
"@VladaRH @ivanvrdoljak mogu li dobiti odgovor na ovo pitanje jer vidjevši napise želim razjasniti ispod koje to cijene trgovci ne mogu ići.
",Neg
